epsilon,epsilon_spent_last_round,noise_multiplier_last_round,accuracy,precision,recall,f1_score,auc_roc,final_train_loss,final_val_loss,client_train_time_sum_sec,round_train_time_sum_of_max_sec,final_inference_time_total_sec,avg_inference_time_per_sample_ms,training_communication_bytes,final_eval_communication_bytes,total_communication_bytes,total_runtime_sec,tn,fp,fn,tp,saved_model_path
1.0,0.9946087257832259,0.582275390625,0.9121383557719851,0.9640100170351957,0.8236226487157452,0.8881880286645845,0.9633406100963252,0.2507706134638033,0.2420460137312748,46179.828138914985,9273.858996413997,4.92671541600248,0.017640774190785163,90549000.0,1006100.0,91555100.0,9596.823703708,151120.0,2484.0,22054.0,103622.0,saved_models/dp_1dcnnsh_epsilon_1.0.pth
3.0,2.9910129820324856,0.48095703125,0.9143225436837582,0.9459362223023623,0.8401986059390815,0.8896441566698758,0.9646002002379951,0.25208468151473246,0.24490729549154908,46357.61295811298,9358.963317000002,8.254596667000442,0.02955670533872974,90549000.0,1006100.0,91555100.0,9663.977189166,149682.0,3922.0,20006.0,105670.0,saved_models/dp_1dcnnsh_epsilon_3.0.pth
5.0,4.993817390090029,0.427093505859375,0.9142903179604698,0.9589582636303479,0.8313472739425188,0.8904504107971488,0.9643563065539102,0.24951294800987212,0.24157746171967562,46705.875294425,9436.024050336997,7.102485376006371,0.02543141426527632,90549000.0,1006100.0,91555100.0,9931.697228708003,150731.0,2873.0,21064.0,104612.0,saved_models/dp_1dcnnsh_epsilon_5.0.pth
10.0,9.994490651504968,0.36041259765625,0.9169077628186766,0.9650047111284339,0.8341210732359401,0.8946924794109986,0.9657401098548538,0.2465308265438402,0.2372952179175234,46146.975188451994,9321.581625751005,8.357825249993766,0.029926329311063326,90549000.0,1006100.0,91555100.0,10440.900978459002,151143.0,2461.0,20745.0,104931.0,saved_models/dp_1dcnnsh_epsilon_10.0.pth
