epsilon,epsilon_spent_last_round,noise_multiplier_last_round,accuracy,precision,recall,f1_score,auc_roc,final_train_loss,final_val_loss,client_train_time_sum_sec,round_train_time_sum_of_max_sec,final_inference_time_total_sec,avg_inference_time_per_sample_ms,training_communication_bytes,final_eval_communication_bytes,total_communication_bytes,total_runtime_sec,tn,fp,fn,tp
1.0,0.9946087257832259,0.582275390625,0.9161092810083071,0.9891304981101268,0.8183853719087177,0.8956876032463125,0.9677058307686639,0.28237025348277267,0.2577575087355342,9749.912196299,2016.2110894969996,0.018415583999740193,6.593950157454952e-05,8411400.0,93460.0,8504860.0,2264.1163294589996,152876.0,728.0,22701.0,102975.0
3.0,2.9910129820324856,0.48095703125,0.9174054712116871,0.9849980751918136,0.8237372290652153,0.8971625411400725,0.9676046732738272,0.2782169095059328,0.2549752002683605,9780.682868036,2013.317299789,0.015632501000254706,5.597429461563559e-05,8411400.0,93460.0,8504860.0,2270.291116542,152597.0,1007.0,22060.0,103616.0
5.0,4.993817390090029,0.427093505859375,0.9174233743912918,0.9860997967794489,0.8232168433113721,0.8973132970152327,0.9678816506594154,0.2771249151916388,0.2548011519411317,9845.000600840998,1985.898809585001,0.01862520899885567,6.669009237630933e-05,8411400.0,93460.0,8504860.0,2451.311242459,152667.0,937.0,22125.0,103551.0
10.0,9.994490651504968,0.36041259765625,0.9179067602406187,0.9855001719279606,0.8245392915115057,0.8978480342053963,0.9692888250202544,0.2705449436158564,0.2473511306994853,9800.658684828002,2033.2999152069995,0.02182487400204991,7.814692782171981e-05,8411400.0,93460.0,8504860.0,2824.2567479589998,152631.0,973.0,21954.0,103722.0
